X1,X2,X3,X4,X5,X6,X7,X8,X9,y
M,J2,DKZIE,CODEZ14,SP,CLMA,60,XXX,BBB,BBB-PA01;BBB-PA03
M,J2,DKZIE,CODEZ14,SP,CLMA,63,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ14,SP,CLMA,68,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ14,SP,CLMA,78,XXX,BBB,BBB-PA03
M,J2,DKZIE,CODEZ14,SP,CLMA,94,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04;BBB-PA05;BBB-PA06
M,J2,DKZIE,CODEZ14,SP,CLMA,94,XXX,DDDDD,DDDDD-PA02
M,J2,DKZIE,CODEZ14,SP,CLMA,94,XXX,DFDF,DFDF-PA01;DFDF-PA03
M,J2,DKZIE,CODEZ14,SP,CLMA,5.2,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ14,SP,CLMA,5.9,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ14,SP,CLMA,8.5,XXX,BBB,BBB-PA02;BBB-PA03
M,J2,DKZIE,CODEZ14,SP,CLMA,107,XXX,BBB,BBB-PA04
M,J2,DKZIE,CODEZ14,SP,CLMA,111,XXX,BBB,BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ14,SP,CLMA,111,XXX,DFDF,DFDF-PA01;DFDF-PA03
M,J2,DKZIE,CODEZ14,SP,CLMA,120,XXX,DFDF,DFDF-PA01;DFDF-PA02;DFDF-PA03;DFDF-PA04
M,J2,DKZIE,CODEZ15,SP,CLEV,11,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ15,SP,CLEV,20,XXX,BBB,BBB-PA01;BBB-PA02
M,J2,DKZIE,CODEZ15,SP,CLEV,26,XXX,BBB,BBB-PA01;BBB-PA02;BBB-PA03
M,J2,DKZIE,CODEZ15,SP,CLEV,28,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ15,SP,CLEV,34,XXX,BBB,BBB-PA05;BBB-PA06
M,J2,DKZIE,CODEZ15,SP,CLEV,37,XXX,BBB,BBB-PA04;BBB-PA05;BBB-PA06
M,J2,DKZIE,CODEZ15,SP,CLEV,37,XXX,DDDDD,DDDDD-PA01;DDDDD-PA02;DDDDD-PA03;DDDDD-PA04
M,J2,DKZIE,CODEZ15,SP,CLEV,37,XXX,DFDF,DFDF-PA01;DFDF-PA02;DFDF-PA04
M,J2,DKZIE,CODEZ15,SP,CLEV,40,XXX,BBB,BBB-PA01
M,J2,DKZIE,CODEZ15,SP,CLEV,50,XXX,DFDF,DFDF-PA02
M,J2,DKZIE,CODEZ15,SP,CLEV,60,XXX,BBB,BBB-PA01;BBB-PA03
M,J2,DKZIE,CODEZ15,SP,CLEV,63,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ15,SP,CLEV,68,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ15,SP,CLEV,78,XXX,BBB,BBB-PA03
M,J2,DKZIE,CODEZ15,SP,CLEV,94,XXX,BBB,BBB-PA01;BBB-PA03;BBB-PA04;BBB-PA05;BBB-PA06
M,J2,DKZIE,CODEZ15,SP,CLEV,94,XXX,DDDDD,DDDDD-PA02
M,J2,DKZIE,CODEZ15,SP,CLEV,94,XXX,DFDF,DFDF-PA01;DFDF-PA03
M,J2,DKZIE,CODEZ15,SP,CLEV,5.2,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ15,SP,CLEV,5.9,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ15,SP,CLEV,8.5,XXX,BBB,BBB-PA02;BBB-PA03
M,J2,DKZIE,CODEZ15,SP,CLEV,107,XXX,BBB,BBB-PA04
M,J2,DKZIE,CODEZ15,SP,CLEV,111,XXX,BBB,BBB-PA03;BBB-PA04
M,J2,DKZIE,CODEZ15,SP,CLEV,111,XXX,DFDF,DFDF-PA01;DFDF-PA03
M,J2,DKZIE,CODEZ15,SP,CLEV,120,XXX,DFDF,DFDF-PA01;DFDF-PA02;DFDF-PA03;DFDF-PA04
M,J2,DKZIE,CODEZ16,SP,CLRV,11,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ16,SP,CLRV,20,XXX,BBB,BBB-PA01;BBB-PA02
M,J2,DKZIE,CODEZ16,SP,CLRV,26,XXX,BBB,BBB-PA01;BBB-PA02;BBB-PA03
M,J2,DKZIE,CODEZ16,SP,CLRV,28,XXX,BBB,BBB-PA02
M,J2,DKZIE,CODEZ16,SP,CLRV,34,XXX,BBB,BBB-PA05;BBB-PA06
M,J2,DKZIE,CODEZ16,SP,CLRV,37,XXX,BBB,BBB-PA04;BBB-PA05;BBB-PA06
M,J2,DKZIE,CODEZ16,SP,CLRV,37,XXX,DDDDD,DDDDD-PA01;DDDDD-PA02;DDDDD-PA04
M,J2,DKZIE,CODEZ16,SP,CLRV,37,XXX,DFDF,DFDF-PA01;DFDF-PA02;DFDF-PA04
M,J2,DKZIE,CODEZ16,SP,CLRV,40,XXX,BBB,BBB-PA01
M,J2,DKZIE,CODEZ16,SP,CLRV,50,XXX,DFDF,DFDF-PA02
M,J2,DKZIE,CODEZ16,SP,CLRV,60,XXX,BBB,BBB-PA01;BBB-PA03
